Pattern No, Parent Tag Pattern
32,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/a
33,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div
34,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/p
37,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/a
39,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div
40,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/p
41,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div
42,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div
47,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div
48,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/span
49,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/a
75,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/a
76,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/p
98,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/div
110,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div
119,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/span/span
132,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/p
153,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div
161,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/div/div/div/div
162,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/div/div/div/div/div/div
164,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/div/div/div/div/p
167,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/div/div/div/div/div
171,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/div/div
173,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/strong
194,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div
211,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/div/strong
247,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/table/tbody/tr/td/div
251,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/a/i
368,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/ul/li
377,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/strong
454,html/body/div/div/div/div/div/div/div/div/div/div/div/table/tbody/tr/td/div/div/div/div/div/div/div/div/b
